"sf__Id","sf__Created",ParentProductId,ChildProductId,ProductComponentGroupId,ProductRelationshipTypeId,Quantity,MinQuantity,MaxQuantity,IsQuantityEditable,IsComponentRequired,IsDefaultComponent,Sequence
"0dSdp00000000eYEAQ","true","01tdp000006JEGlAAO","01tdp000006HfpoAAC","0y7dp00000000BJAAY","0yoa5000000gTtdAAE","1.0","1.0","1.0","true","true","true","10"
"0dSdp00000000eZEAQ","true","01tdp000006JEGlAAO","01tdp000006HfpkAAC","0y7dp00000000BJAAY","0yoa5000000gTtdAAE","1.0","1.0","1.0","true","true","true","20"
"0dSdp00000000eaEAA","true","01tdp000006JEGlAAO","01tdp000006HfprAAC","0y7dp00000000BJAAY","0yoa5000000gTtdAAE","1.0","1.0","1.0","true","true","true","30"
"0dSdp00000000ebEAA","true","01tdp000006JEGjAAO","01tdp000006HfpoAAC","0y7dp00000000BKAAY","0yoa5000000gTtdAAE","1.0","1.0","1.0","true","true","true","40"
"0dSdp00000000ecEAA","true","01tdp000006JEGjAAO","01tdp000006HfpkAAC","0y7dp00000000BKAAY","0yoa5000000gTtdAAE","1.0","1.0","1.0","true","true","true","50"
"0dSdp00000000edEAA","true","01tdp000006JEGjAAO","01tdp000006HfpnAAC","0y7dp00000000BKAAY","0yoa5000000gTtdAAE","1.0","1.0","1.0","true","true","true","60"
"0dSdp00000000eeEAA","true","01tdp000006JEGjAAO","01tdp000006HfpmAAC","0y7dp00000000BKAAY","0yoa5000000gTtdAAE","1.0","1.0","1.0","true","true","true","70"
"0dSdp00000000efEAA","true","01tdp000006JEGkAAO","01tdp000006HfpoAAC","0y7dp00000000BMAAY","0yoa5000000gTtdAAE","1.0","1.0","1.0","true","true","true","90"
"0dSdp00000000egEAA","true","01tdp000006JEGkAAO","01tdp000006HfpkAAC","0y7dp00000000BMAAY","0yoa5000000gTtdAAE","1.0","1.0","1.0","true","true","true","100"
"0dSdp00000000ehEAA","true","01tdp000006JEGkAAO","01tdp000006HfpnAAC","0y7dp00000000BMAAY","0yoa5000000gTtdAAE","1.0","1.0","1.0","true","true","true","110"
"0dSdp00000000eiEAA","true","01tdp000006JEGkAAO","01tdp000006HfpmAAC","0y7dp00000000BMAAY","0yoa5000000gTtdAAE","1.0","1.0","1.0","true","true","true","120"
"0dSdp00000000ejEAA","true","01tdp000006JEGkAAO","01tdp000006HfppAAC","0y7dp00000000BNAAY","0yoa5000000gTtdAAE","1.0","1.0","1.0","true","true","true","130"
"0dSdp00000000ekEAA","true","01tdp000006JEGkAAO","01tdp000006HfplAAC","0y7dp00000000BNAAY","0yoa5000000gTtdAAE","1.0","1.0","1.0","true","true","true","140"
